path,label,changes
freeplane\src\main\java\org\freeplane\view\swing\map\MapView.java,MapView,315
freeplane\src\main\java\org\freeplane\view\swing\map\NodeView.java,NodeView,241
freeplane\src\main\java\org\freeplane\view\swing\map\MainView.java,MainView,135
freeplane\src\main\java\org\freeplane\view\swing\map\outline\ScrollableTreePanel.java,ScrollableTreePanel,135
freeplane\src\main\java\org\freeplane\view\swing\map\VerticalNodeViewLayoutStrategy.java,VerticalNodeViewLayoutStrategy,117
freeplane\src\main\java\org\freeplane\features\ui\FrameController.java,FrameController,101
freeplane\src\main\java\org\freeplane\features\filter\FilterController.java,FilterController,97
freeplane\src\main\java\org\freeplane\features\map\MapController.java,MapController,94
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\MMapController.java,MMapController,92
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\MIconController.java,MIconController,90
freeplane\src\main\java\org\freeplane\features\text\mindmapmode\MTextController.java,MTextController,89
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagCategoryEditor.java,TagCategoryEditor,89
freeplane\src\main\java\org\freeplane\features\styles\MapStyle.java,MapStyle,83
freeplane\src\main\java\org\freeplane\features\url\mindmapmode\MFileManager.java,MFileManager,76
freeplane\src\main\java\org\freeplane\features\icon\TagCategories.java,TagCategories,74
freeplane\src\main\java\org\freeplane\features\icon\mindmapmode\TagEditor.java,TagEditor,71
freeplane\src\main\java\org\freeplane\view\swing\map\mindmapmode\EditNodeTextField.java,EditNodeTextField,70
freeplane\src\main\java\org\freeplane\main\application\FreeplaneGUIStarter.java,FreeplaneGUIStarter,70
freeplane\src\main\java\org\freeplane\view\swing\map\MapViewController.java,MapViewController,70
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\NodeProxy.java,NodeProxy,69
freeplane\src\main\java\org\freeplane\view\swing\map\attribute\AttributeTable.java,AttributeTable,67
freeplane\src\main\java\org\freeplane\view\swing\map\outline\MapAwareOutlinePane.java,MapAwareOutlinePane,67
freeplane\src\main\java\org\freeplane\features\link\LinkController.java,LinkController,62
freeplane\src\main\java\org\freeplane\features\map\mindmapmode\clipboard\MMapClipboardController.java,MMapClipboardController,59
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BreadcrumbPanel.java,BreadcrumbPanel,57
freeplane\src\main\java\org\freeplane\features\map\NodeModel.java,NodeModel,55
freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeDropListener.java,MNodeDropListener,53
freeplane\src\main\java\org\freeplane\core\ui\components\UITools.java,UITools,53
freeplane\src\main\java\org\freeplane\features\filter\Filter.java,Filter,52
freeplane\src\main\java\org\freeplane\view\swing\features\time\mindmapmode\nodelist\NodeList.java,NodeList,52
freeplane\src\main\java\org\freeplane\features\text\TextController.java,TextController,51
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeExplorerConfigurator.java,CodeExplorerConfigurator,51
freeplane\src\main\java\org\freeplane\main\application\ApplicationViewController.java,ApplicationViewController,50
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeMapController.java,CodeMapController,50
freeplane\src\main\java\org\freeplane\main\application\MapViewDockingWindows.java,MapViewDockingWindows,49
freeplane\src\main\java\org\freeplane\features\styles\MapStyleModel.java,MapStyleModel,49
freeplane_plugin_ai\src\main\java\org\freeplane\plugin\ai\chat\AIChatPanel.java,AIChatPanel,49
freeplane_plugin_ai\src\main\java\org\freeplane\plugin\ai\tools\AIToolSet.java,AIToolSet,49
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\StyleEditorPanel.java,StyleEditorPanel,47
freeplane_api\src\main\java\org\freeplane\api\NodeRO.java,NodeRO,47
freeplane\src\main\java\org\freeplane\core\resources\ResourceController.java,ResourceController,42
freeplane\src\main\java\org\freeplane\features\commandsearch\CommandSearchDialog.java,CommandSearchDialog,42
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\MNoteController.java,MNoteController,41
freeplane\src\main\java\org\freeplane\view\swing\ui\DefaultNodeMouseMotionListener.java,DefaultNodeMouseMotionListener,41
freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewLayoutHelper.java,NodeViewLayoutHelper,40
freeplane\src\main\java\org\freeplane\main\mindmapmode\MModeControllerFactory.java,MModeControllerFactory,39
freeplane\src\main\java\org\freeplane\view\swing\map\MapScroller.java,MapScroller,39
freeplane\src\main\java\org\freeplane\view\swing\map\outline\OutlinePane.java,OutlinePane,39
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\MLogicalStyleController.java,MLogicalStyleController,38
freeplane\src\main\java\org\freeplane\view\swing\map\MapViewScrollPane.java,MapViewScrollPane,38
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\ControllerProxy.java,ControllerProxy,38
freeplane\src\main\java\org\freeplane\features\presentations\mindmapmode\Slide.java,Slide,37
freeplane\src\main\java\org\freeplane\features\url\UrlManager.java,UrlManager,37
freeplane\src\main\java\org\freeplane\view\swing\map\outline\BlockPanel.java,BlockPanel,37
freeplane\src\main\java\org\freeplane\features\link\mindmapmode\MLinkController.java,MLinkController,36
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\NoteManager.java,NoteManager,36
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\GroovyScript.java,GroovyScript,36
freeplane\src\main\java\org\freeplane\view\swing\map\NodeViewFactory.java,NodeViewFactory,36
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\CodeNode.java,CodeNode,36
freeplane\src\main\java\org\freeplane\features\styles\mindmapmode\styleeditorpanel\StyleControlGroup.java,StyleControlGroup,35
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\MapProxy.java,MapProxy,35
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\FormulaUtils.java,FormulaUtils,35
freeplane\src\main\java\org\freeplane\features\icon\IconController.java,IconController,34
freeplane\src\main\java\org\freeplane\features\note\mindmapmode\NotePanel.java,NotePanel,34
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeProjectController.java,CodeProjectController,34
freeplane\src\main\java\org\freeplane\view\swing\features\filepreview\ViewerController.java,ViewerController,33
freeplane\src\main\java\org\freeplane\view\swing\features\time\mindmapmode\ReminderHook.java,ReminderHook,32
freeplane\src\main\java\org\freeplane\view\swing\ui\mindmapmode\MNodeMotionListener.java,MNodeMotionListener,32
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NavigationButtons.java,NavigationButtons,32
freeplane\src\main\java\org\freeplane\view\swing\map\ZoomableLabelUI.java,ZoomableLabelUI,31
freeplane\src\main\java\org\freeplane\features\ui\IMapViewManager.java,IMapViewManager,31
freeplane\src\main\java\org\freeplane\view\swing\ui\NodeSelector.java,NodeSelector,31
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\ProjectRootNode.java,ProjectRootNode,31
freeplane\src\main\java\org\freeplane\features\text\mindmapmode\EditNodeWYSIWYG.java,EditNodeWYSIWYG,30
freeplane\src\main\java\org\freeplane\features\map\MapModel.java,MapModel,30
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\configurator\CodeDependenciesPanel.java,CodeDependenciesPanel,30
freeplane\src\main\java\org\freeplane\main\headlessmode\HeadlessMapViewController.java,HeadlessMapViewController,29
freeplane\src\main\java\org\freeplane\view\swing\map\link\ConnectorView.java,ConnectorView,29
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\FreeplaneScriptBaseClass.java,FreeplaneScriptBaseClass,29
freeplane_plugin_formula\src\main\java\org\freeplane\plugin\formula\FormulaTextTransformer.java,FormulaTextTransformer,28
freeplane_plugin_bugreport\src\main\java\org\freeplane\plugin\bugreport\ReportGenerator.java,ReportGenerator,28
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\proxy\Proxy.java,Proxy,28
freeplane_plugin_latex\src\main\java\org\freeplane\plugin\latex\LatexRenderer.java,LatexRenderer,28
freeplane_framework\src\main\java\org\freeplane\launcher\Launcher.java,Launcher,28
freeplane_plugin_codeexplorer\src\main\java\org\freeplane\plugin\codeexplorer\map\PackageNode.java,PackageNode,28
freeplane\src\main\java\org\freeplane\features\icon\UIIcon.java,UIIcon,27
freeplane_plugin_script\src\main\java\org\freeplane\plugin\script\filter\ScriptCondition.java,ScriptCondition,27
freeplane\src\main\java\org\freeplane\features\icon\factory\IconStoreFactory.java,IconStoreFactory,27
freeplane\src\main\java\org\freeplane\features\note\NoteController.java,NoteController,27
freeplane\src\main\java\org\freeplane\features\attribute\AttributeController.java,AttributeController,27
freeplane_api\src\main\java\org\freeplane\api\Node.java,Node,27
freeplane\src\main\java\org\freeplane\core\ui\components\IconSelectionPopupDialog.java,IconSelectionPopupDialog,27
freeplane\src\main\java\org\freeplane\features\mode\mindmapmode\MModeController.java,MModeController,27
freeplane_plugin_markdown\src\main\java\org\freeplane\plugin\markdown\MarkdownRenderer.java,MarkdownRenderer,27
freeplane\src\main\java\org\freeplane\features\filter\AFilterComposerDialog.java,AFilterComposerDialog,26
freeplane\src\main\java\org\freeplane\features\nodestyle\mindmapmode\MNodeStyleController.java,MNodeStyleController,26
freeplane\src\main\java\org\freeplane\features\url\mindmapmode\MapLoader.java,MapLoader,26
freeplane\src\main\java\org\freeplane\core\util\Compat.java,Compat,26
freeplane\src\main\java\org\freeplane\view\swing\map\overview\MapViewPane.java,MapViewPane,26
freeplane\src\main\java\org\freeplane\view\swing\map\outline\NodePositioning.java,NodePositioning,26
